文件名,原始时长(秒),处理后时长(秒),裁剪帧数,裁剪时长(秒)
output.mp4,11.60,11.56,1,0.04
output1.mp4,7.60,6.60,25,1.00
output1_fix.mp4,6.60,6.60,0,0.00
output2.mp4,11.60,10.60,25,1.00
output2_fix.mp4,10.60,9.60,25,1.00
output_0.mp4,11.56,11.56,0,0.00
output_0_fix.mp4,10.56,9.56,25,1.00
output_1.mp4,11.60,10.60,25,1.00
output_10.mp4,11.60,11.60,0,0.00
output_10_fix.mp4,10.60,9.60,25,1.00
output_11.mp4,11.60,11.48,3,0.12
output_11_fix.mp4,10.60,10.60,0,0.00
output_1_fix.mp4,10.60,10.56,1,0.04
output_2.mp4,11.60,10.60,25,1.00
output_2_fix.mp4,10.60,10.52,2,0.08
output_3.mp4,11.60,11.48,3,0.12
output_3_fix.mp4,10.60,10.60,0,0.00
output_4.mp4,11.60,11.48,3,0.12
output_4_fix.mp4,10.60,10.60,0,0.00
output_5.mp4,11.60,11.36,6,0.24
output_5_fix.mp4,10.60,10.60,0,0.00
output_6.mp4,11.60,11.32,7,0.28
output_6_fix.mp4,10.60,10.60,0,0.00
output_7.mp4,11.60,10.60,25,1.00
output_7_fix.mp4,10.60,9.60,25,1.00
output_8.mp4,11.60,11.60,0,0.00
output_8_fix.mp4,10.60,10.60,0,0.00
output_9.mp4,11.60,11.56,1,0.04
output_9_fix.mp4,10.60,9.60,25,1.00
output_fix.mp4,10.60,9.60,25,1.00
