序号,原文件名,裁剪帧数,裁剪时长(秒),状态,裁剪原因,人工校验
7,01cd081c-09c4-4598-b777-7f3e62e7875b,0,0.00,保持原样,,
4,00c49679-1f66-4141-8341-d66d0713d023,30,1.00,已裁剪,2宫格,
1,003a6e0e-2d62-4d9d-9016-c39968f793a7,11,0.37,已裁剪,1宫格,
2,00a0236e-cbc3-44cc-a6b2-d3e78ecb280e,30,1.00,已裁剪,2宫格,
9,01f70b2d-f123-4ec1-af04-eb18a38878ac,30,1.00,已裁剪,2宫格,
5,00f57f86-7224-4ad0-9e83-04dabe7d1910,8,0.27,已裁剪,1宫格,
6,01bb6df1-1fd7-40e9-a8eb-82a7208cbb3b,30,1.00,已裁剪,2宫格,
8,01eaa07f-1060-4709-8fa0-17c75f5b6c98,3,0.10,已裁剪,2宫格,
3,00aad9ac-884f-4f89-966e-d2880cc49653,30,1.00,已裁剪,2宫格,
17,0ca08297-30bf-4aff-9e2c-a65d436db31d,0,0.00,保持原样,,
10,01fbfc30-9008-4c18-b817-fae1fe4a11ac,22,0.73,已裁剪,1宫格,
12,0b1b857c-6a26-4bf4-88f9-17fcc77f145c,30,1.00,已裁剪,2宫格,
19,0d062bba-902c-4180-adfc-dcb24fad7be9,0,0.00,保持原样,,
13,0b1c32f5-a002-49bc-b703-cad8d4460a1d,30,1.00,已裁剪,2宫格,
14,0b2d7fe2-4fd0-4ad4-ac63-0b0f15a33ac8,6,0.20,已裁剪,2宫格,
16,0c1194c9-2870-49e2-b526-2ed0ae70bace,30,1.00,已裁剪,2宫格,
11,0ac5980c-9e23-40e5-8bc3-0741f447f8bf,27,0.90,已裁剪,1宫格,
15,0b42eb21-6229-4a11-90b3-571237b5a2c8,30,1.00,已裁剪,2宫格,
18,0cd82b4c-b65b-4cb0-ab5c-fbf1e7200236,22,0.73,已裁剪,2宫格,
21,0d9164ac-63ca-46d1-b88d-8d8b79fcd6a3,3,0.10,已裁剪,1宫格,
23,0dc5ccb5-3724-4292-aa3b-56ef28bd58bb,26,0.87,已裁剪,2宫格,
22,0dbd2120-7202-4868-923f-607d2d231e03,30,1.00,已裁剪,2宫格,
24,0df545a4-fe1d-4c27-a876-46a418db441b,10,0.33,已裁剪,1宫格,
25,0e400f07-c95b-4a0b-a6bf-de6405784795,17,0.57,已裁剪,2宫格,
20,0d215c01-8409-421b-b11f-f27293f7cd72,30,1.00,已裁剪,2宫格,
26,0e45c2ad-f641-4335-857b-195a067fff7c,30,1.00,已裁剪,2宫格,
27,0e471d07-ab0f-4fc6-8fbd-fee3dad5d3f7,30,1.00,已裁剪,2宫格,
29,0e7cf13b-1684-4161-88f5-a79b48d91b82,8,0.27,已裁剪,1宫格,
32,0f5142bd-e2f6-4d1b-8351-0e51c14e8993,2,0.07,已裁剪,2宫格,
28,0e757cc5-0a32-4197-8248-3f3229f54b90,30,1.00,已裁剪,2宫格,
31,0ee35acf-3626-41d6-9e7e-22e642e55c55,30,1.00,已裁剪,4宫格,
35,1af6543f-4ab6-41e1-bbf4-504ebf49c5b3,25,0.83,已裁剪,2宫格,
30,0eb1d759-54a7-4f5b-900c-7687dc005490,2,0.07,已裁剪,1宫格,
39,1b5be026-b432-4d2e-8e56-5e8f2c291632,0,0.00,保持原样,,
33,1a3019c7-fef2-4364-86ad-d7624c25062f,30,1.00,已裁剪,2宫格,
34,1a8c2b00-45a6-4d7b-81fe-4b4652f41383,30,1.00,已裁剪,2宫格,
36,1afab47d-8ae1-42b7-b00c-81eba808d916,25,0.83,已裁剪,1宫格,
37,1aff19b2-52f2-48f6-b31a-657bae0bd09c,13,0.43,已裁剪,2宫格,
